id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_base_nav_top_navigation_tab_normal_01	UI-09	base_nav	tab	top_navigation_tab	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	36,86,314,314	res://assets/ui/base_nav/sliced/tab/ui_base_nav_top_navigation_tab_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_top_navigation_tab_selected_01	UI-09	base_nav	tab	top_navigation_tab	selected	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	314,85,313,314	res://assets/ui/base_nav/sliced/tab/ui_base_nav_top_navigation_tab_selected_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_top_navigation_tab_locked_01	UI-09	base_nav	tab	top_navigation_tab	locked	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	627,86,313,235	res://assets/ui/base_nav/sliced/tab/ui_base_nav_top_navigation_tab_locked_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_page_title_plaque_normal_01	UI-09	base_nav	plaque	page_title_plaque	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	940,89,293,226	res://assets/ui/base_nav/sliced/plaque/ui_base_nav_page_title_plaque_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_large_main_panel_frame_normal_01	UI-09	base_nav	panel	large_main_panel_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	29,314,314,313	res://assets/ui/base_nav/sliced/panel/ui_base_nav_large_main_panel_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_right_detail_panel_frame_normal_01	UI-09	base_nav	panel	right_detail_panel_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	314,314,304,313	res://assets/ui/base_nav/sliced/panel/ui_base_nav_right_detail_panel_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_bottom_action_bar_frame_normal_01	UI-09	base_nav	bar	bottom_action_bar_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	654,397,313,213	res://assets/ui/base_nav/sliced/bar/ui_base_nav_bottom_action_bar_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_global_resource_badge_frame_normal_01	UI-09	base_nav	badge	global_resource_badge_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	940,316,291,270	res://assets/ui/base_nav/sliced/badge/ui_base_nav_global_resource_badge_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_primary_confirm_button_frame_normal_01	UI-09	base_nav	button	primary_confirm_button_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	29,627,314,222	res://assets/ui/base_nav/sliced/button/ui_base_nav_primary_confirm_button_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_secondary_button_frame_normal_01	UI-09	base_nav	button	secondary_button_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	314,627,313,313	res://assets/ui/base_nav/sliced/button/ui_base_nav_secondary_button_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_warning_button_frame_warning_01	UI-09	base_nav	button	warning_button_frame	warning	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	627,728,313,313	res://assets/ui/base_nav/sliced/button/ui_base_nav_warning_button_frame_warning_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_category_filter_chip_normal_01	UI-09	base_nav	chip	category_filter_chip	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	940,728,282,223	res://assets/ui/base_nav/sliced/chip/ui_base_nav_category_filter_chip_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_small_icon_button_frame_normal_01	UI-09	base_nav	button	small_icon_button_frame	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	49,982,314,191	res://assets/ui/base_nav/sliced/button/ui_base_nav_small_icon_button_frame_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_scrollbar_track_normal_01	UI-09	base_nav	scrollbar	scrollbar_track	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	314,940,280,242	res://assets/ui/base_nav/sliced/scrollbar/ui_base_nav_scrollbar_track_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_scrollbar_handle_normal_01	UI-09	base_nav	scrollbar	scrollbar_handle	normal	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	709,940,313,226	res://assets/ui/base_nav/sliced/scrollbar/ui_base_nav_scrollbar_handle_normal_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
ui_base_nav_disabled_button_frame_disabled_01	UI-09	base_nav	button	disabled_button_frame	disabled	res://assets/ui/base_nav/sheets/ui_base_nav_panels_sheet_01.png	940,997,280,180	res://assets/ui/base_nav/sliced/button/ui_base_nav_disabled_button_frame_disabled_01.png	320x320	true	Grid slice from UI-09 using Doc 21 element order
