id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_crafting_recipe_card_normal_01	UI-15	crafting	card	recipe_card	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	57,26,245,251	res://assets/ui/crafting/sliced/card/ui_crafting_recipe_card_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_recipe_card_selected_01	UI-15	crafting	card	recipe_card	selected	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	298,26,235,251	res://assets/ui/crafting/sliced/card/ui_crafting_recipe_card_selected_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_recipe_card_locked_01	UI-15	crafting	card	recipe_card	locked	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	538,27,221,251	res://assets/ui/crafting/sliced/card/ui_crafting_recipe_card_locked_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_recipe_card_craftable_01	UI-15	crafting	card	recipe_card	craftable	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	770,27,251,251	res://assets/ui/crafting/sliced/card/ui_crafting_recipe_card_craftable_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_recipe_card_missing_material_01	UI-15	crafting	card	recipe_card	missing_material	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	1003,27,184,251	res://assets/ui/crafting/sliced/card/ui_crafting_recipe_card_missing_material_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_crafting_output_frame_normal_01	UI-15	crafting	frame	crafting_output_frame	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	50,251,251,251	res://assets/ui/crafting/sliced/frame/ui_crafting_crafting_output_frame_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_material_requirement_badge_satisfied_01	UI-15	crafting	badge	material_requirement_badge	satisfied	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	251,251,251,251	res://assets/ui/crafting/sliced/badge/ui_crafting_material_requirement_badge_satisfied_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_material_requirement_badge_missing_01	UI-15	crafting	badge	material_requirement_badge	missing	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	502,251,250,251	res://assets/ui/crafting/sliced/badge/ui_crafting_material_requirement_badge_missing_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_craft_button_frame_active_01	UI-15	crafting	button	craft_button_frame	active	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	752,251,251,251	res://assets/ui/crafting/sliced/button/ui_crafting_craft_button_frame_active_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_craft_button_frame_disabled_01	UI-15	crafting	button	craft_button_frame	disabled	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	1003,251,196,251	res://assets/ui/crafting/sliced/button/ui_crafting_craft_button_frame_disabled_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_craft_progress_strip_empty_01	UI-15	crafting	bar	craft_progress_strip	empty	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	46,502,251,250	res://assets/ui/crafting/sliced/bar/ui_crafting_craft_progress_strip_empty_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_craft_progress_strip_filled_01	UI-15	crafting	bar	craft_progress_strip	filled	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	251,502,251,250	res://assets/ui/crafting/sliced/bar/ui_crafting_craft_progress_strip_filled_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_completed_output_stamp_completed_01	UI-15	crafting	stamp	completed_output_stamp	completed	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	502,502,250,250	res://assets/ui/crafting/sliced/stamp/ui_crafting_completed_output_stamp_completed_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_tool_icon_frame_small_01	UI-15	crafting	frame	tool_icon_frame	small	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	752,502,251,250	res://assets/ui/crafting/sliced/frame/ui_crafting_tool_icon_frame_small_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_workshop_category_chip_normal_01	UI-15	crafting	chip	workshop_category_chip	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	1003,502,203,250	res://assets/ui/crafting/sliced/chip/ui_crafting_workshop_category_chip_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_unlock_condition_badge_normal_01	UI-15	crafting	badge	unlock_condition_badge	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	42,752,251,251	res://assets/ui/crafting/sliced/badge/ui_crafting_unlock_condition_badge_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_warning_mini_badge_warning_01	UI-15	crafting	badge	warning_mini_badge	warning	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	251,752,251,251	res://assets/ui/crafting/sliced/badge/ui_crafting_warning_mini_badge_warning_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_preview_panel_frame_normal_01	UI-15	crafting	panel	preview_panel_frame	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	502,752,250,251	res://assets/ui/crafting/sliced/panel/ui_crafting_preview_panel_frame_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_recipe_list_frame_normal_01	UI-15	crafting	panel	recipe_list_frame	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	752,752,251,251	res://assets/ui/crafting/sliced/panel/ui_crafting_recipe_list_frame_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_quantity_stepper_button_normal_01	UI-15	crafting	button	quantity_stepper_button	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	1003,752,203,251	res://assets/ui/crafting/sliced/button/ui_crafting_quantity_stepper_button_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_work_light_icon_small_orange_01	UI-15	crafting	icon	work_light_icon	small_orange	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	42,1003,251,230	res://assets/ui/crafting/sliced/icon/ui_crafting_work_light_icon_small_orange_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_repair_tape_corner_normal_01	UI-15	crafting	marker	repair_tape_corner	normal	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	251,1003,251,210	res://assets/ui/crafting/sliced/marker/ui_crafting_repair_tape_corner_normal_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_disabled_grey_overlay_disabled_01	UI-15	crafting	overlay	disabled_grey_overlay	disabled	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	502,1003,250,230	res://assets/ui/crafting/sliced/overlay/ui_crafting_disabled_grey_overlay_disabled_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_success_toast_frame_success_01	UI-15	crafting	toast	success_toast_frame	success	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	752,1003,251,210	res://assets/ui/crafting/sliced/toast/ui_crafting_success_toast_frame_success_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
ui_crafting_failure_toast_frame_failure_01	UI-15	crafting	toast	failure_toast_frame	failure	res://assets/ui/crafting/sheets/ui_crafting_sheet_01.png	1003,1003,180,210	res://assets/ui/crafting/sliced/toast/ui_crafting_failure_toast_frame_failure_01.png	256x256	true	Grid slice from UI-15 using Doc 21 element order
