id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_prep_character_preview_frame_normal_01	UI-17	prep	frame	character_preview_frame	normal	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	23,20,251,251	res://assets/ui/prep/sliced/frame/ui_prep_character_preview_frame_normal_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_character_base_shadow_frame_normal_01	UI-17	prep	frame	character_base_shadow_frame	normal	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	251,21,41,251	res://assets/ui/prep/sliced/frame/ui_prep_character_base_shadow_frame_normal_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_head_01	UI-17	prep	slot	equipment_slot	head	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	579,74,243,226	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_head_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_body_01	UI-17	prep	slot	equipment_slot	body	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	810,74,221,226	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_body_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_hand_01	UI-17	prep	slot	equipment_slot	hand	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	1048,74,207,226	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_hand_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_leg_01	UI-17	prep	slot	equipment_slot	leg	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	19,251,251,251	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_leg_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_back_01	UI-17	prep	slot	equipment_slot	back	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	251,251,251,251	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_back_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_special_01	UI-17	prep	slot	equipment_slot	special	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	502,275,242,251	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_special_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_selected_01	UI-17	prep	slot	equipment_slot	selected	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	804,275,221,251	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_selected_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_equipment_slot_locked_01	UI-17	prep	slot	equipment_slot	locked	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	1049,275,209,251	res://assets/ui/prep/sliced/slot/ui_prep_equipment_slot_locked_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
ui_prep_backpack_selection_frame_normal_01	UI-17	prep	frame	backpack_selection_frame	normal	res://assets/ui/prep/sheets/ui_expedition_prep_sheet_01.png	31,502,194,250	res://assets/ui/prep/sliced/frame/ui_prep_backpack_selection_frame_normal_01.png	256x256	true	Grid slice from UI-17 using Doc 21 element order
