id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_research_research_node_locked_01	UI-13	research	node	research_node	locked	res://assets/ui/research/sheets/ui_research_sheet_01.png	24,29,246,251	res://assets/ui/research/sliced/node/ui_research_research_node_locked_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_node_available_01	UI-13	research	node	research_node	available	res://assets/ui/research/sheets/ui_research_sheet_01.png	270,28,243,251	res://assets/ui/research/sliced/node/ui_research_research_node_available_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_node_selected_01	UI-13	research	node	research_node	selected	res://assets/ui/research/sheets/ui_research_sheet_01.png	516,28,236,251	res://assets/ui/research/sliced/node/ui_research_research_node_selected_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_node_completed_01	UI-13	research	node	research_node	completed	res://assets/ui/research/sheets/ui_research_sheet_01.png	759,29,229,251	res://assets/ui/research/sliced/node/ui_research_research_node_completed_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_node_blocked_01	UI-13	research	node	research_node	blocked	res://assets/ui/research/sheets/ui_research_sheet_01.png	1004,29,225,251	res://assets/ui/research/sliced/node/ui_research_research_node_blocked_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_connection_line_straight_01	UI-13	research	line	connection_line	straight	res://assets/ui/research/sheets/ui_research_sheet_01.png	114,251,146,213	res://assets/ui/research/sliced/line/ui_research_connection_line_straight_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_connection_line_corner_01	UI-13	research	line	connection_line	corner	res://assets/ui/research/sheets/ui_research_sheet_01.png	304,251,206,207	res://assets/ui/research/sliced/line/ui_research_connection_line_corner_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_connection_line_broken_01	UI-13	research	line	connection_line	broken	res://assets/ui/research/sheets/ui_research_sheet_01.png	609,251,138,213	res://assets/ui/research/sliced/line/ui_research_connection_line_broken_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_connection_line_glowing_completed_01	UI-13	research	line	connection_line	glowing_completed	res://assets/ui/research/sheets/ui_research_sheet_01.png	848,251,135,213	res://assets/ui/research/sliced/line/ui_research_connection_line_glowing_completed_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_material_requirement_badge_normal_01	UI-13	research	badge	material_requirement_badge	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	1026,251,185,203	res://assets/ui/research/sliced/badge/ui_research_material_requirement_badge_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_prerequisite_badge_normal_01	UI-13	research	badge	prerequisite_badge	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	25,519,233,250	res://assets/ui/research/sliced/badge/ui_research_prerequisite_badge_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_progress_strip_empty_01	UI-13	research	bar	research_progress_strip	empty	res://assets/ui/research/sheets/ui_research_sheet_01.png	266,519,251,250	res://assets/ui/research/sliced/bar/ui_research_research_progress_strip_empty_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_progress_strip_filled_01	UI-13	research	bar	research_progress_strip	filled	res://assets/ui/research/sheets/ui_research_sheet_01.png	502,563,250,250	res://assets/ui/research/sliced/bar/ui_research_research_progress_strip_filled_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_submit_button_frame_active_01	UI-13	research	button	submit_button_frame	active	res://assets/ui/research/sheets/ui_research_sheet_01.png	752,564,215,250	res://assets/ui/research/sliced/button/ui_research_submit_button_frame_active_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_submit_button_frame_disabled_01	UI-13	research	button	submit_button_frame	disabled	res://assets/ui/research/sheets/ui_research_sheet_01.png	1004,526,215,166	res://assets/ui/research/sliced/button/ui_research_submit_button_frame_disabled_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_completed_stamp_completed_01	UI-13	research	stamp	completed_stamp	completed	res://assets/ui/research/sheets/ui_research_sheet_01.png	24,752,251,251	res://assets/ui/research/sliced/stamp/ui_research_completed_stamp_completed_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_blueprint_badge_normal_01	UI-13	research	badge	blueprint_badge	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	251,752,251,251	res://assets/ui/research/sliced/badge/ui_research_blueprint_badge_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_circuit_icon_frame_small_01	UI-13	research	frame	circuit_icon_frame	small	res://assets/ui/research/sheets/ui_research_sheet_01.png	502,752,234,251	res://assets/ui/research/sliced/frame/ui_research_circuit_icon_frame_small_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_research_category_chip_normal_01	UI-13	research	chip	research_category_chip	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	760,752,251,251	res://assets/ui/research/sliced/chip/ui_research_research_category_chip_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_detail_panel_frame_normal_01	UI-13	research	panel	detail_panel_frame	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	1003,755,220,251	res://assets/ui/research/sliced/panel/ui_research_detail_panel_frame_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_warning_mini_badge_warning_01	UI-13	research	badge	warning_mini_badge	warning	res://assets/ui/research/sheets/ui_research_sheet_01.png	24,1003,251,231	res://assets/ui/research/sliced/badge/ui_research_warning_mini_badge_warning_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_available_pulse_ring_available_01	UI-13	research	vfx	available_pulse_ring	available	res://assets/ui/research/sheets/ui_research_sheet_01.png	251,1003,251,214	res://assets/ui/research/sliced/vfx/ui_research_available_pulse_ring_available_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_locked_grey_overlay_locked_01	UI-13	research	overlay	locked_grey_overlay	locked	res://assets/ui/research/sheets/ui_research_sheet_01.png	502,1003,242,128	res://assets/ui/research/sliced/overlay/ui_research_locked_grey_overlay_locked_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_node_hover_frame_hover_01	UI-13	research	frame	node_hover_frame	hover	res://assets/ui/research/sheets/ui_research_sheet_01.png	771,1003,251,149	res://assets/ui/research/sliced/frame/ui_research_node_hover_frame_hover_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
ui_research_compact_tooltip_frame_normal_01	UI-13	research	tooltip	compact_tooltip_frame	normal	res://assets/ui/research/sheets/ui_research_sheet_01.png	1003,1003,229,177	res://assets/ui/research/sliced/tooltip/ui_research_compact_tooltip_frame_normal_01.png	256x256	true	Grid slice from UI-13 using Doc 21 element order
