id	sheet_id	system	category	element	state	source_sheet	source_rect	sprite_path	size_px	has_alpha	notes
ui_warehouse_warehouse_slot_empty_01	UI-11	warehouse	slot	warehouse_slot	empty	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	50,91,223,251	res://assets/ui/warehouse/sliced/slot/ui_warehouse_warehouse_slot_empty_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_warehouse_slot_selected_01	UI-11	warehouse	slot	warehouse_slot	selected	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	273,90,251,251	res://assets/ui/warehouse/sliced/slot/ui_warehouse_warehouse_slot_selected_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_warehouse_frame_occupied_01	UI-11	warehouse	slot	warehouse_frame	occupied	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	502,88,250,251	res://assets/ui/warehouse/sliced/slot/ui_warehouse_warehouse_frame_occupied_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_warehouse_capacity_slot_locked_01	UI-11	warehouse	slot	warehouse_capacity_slot	locked	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	752,90,251,251	res://assets/ui/warehouse/sliced/slot/ui_warehouse_warehouse_capacity_slot_locked_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_capacity_display_frame_normal_01	UI-11	warehouse	frame	capacity_display_frame	normal	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	1003,135,210,241	res://assets/ui/warehouse/sliced/frame/ui_warehouse_capacity_display_frame_normal_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_category_chip_all_01	UI-11	warehouse	chip	category_chip	all	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	43,251,251,251	res://assets/ui/warehouse/sliced/chip/ui_warehouse_category_chip_all_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_category_chip_materials_01	UI-11	warehouse	chip	category_chip	materials	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	251,251,251,251	res://assets/ui/warehouse/sliced/chip/ui_warehouse_category_chip_materials_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_category_chip_equipment_01	UI-11	warehouse	chip	category_chip	equipment	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	502,251,250,251	res://assets/ui/warehouse/sliced/chip/ui_warehouse_category_chip_equipment_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_category_chip_consumables_01	UI-11	warehouse	chip	category_chip	consumables	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	752,251,243,251	res://assets/ui/warehouse/sliced/chip/ui_warehouse_category_chip_consumables_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
ui_warehouse_category_chip_blueprint_01	UI-11	warehouse	chip	category_chip	blueprint	res://assets/ui/warehouse/sheets/ui_warehouse_sheet_01.png	1043,343,193,251	res://assets/ui/warehouse/sliced/chip/ui_warehouse_category_chip_blueprint_01.png	256x256	true	Grid slice from UI-11 using Doc 21 element order
