id	context	item_id	min_count	max_count	weight	required_tags	enabled_version
cardboard_scrap	container_cardboard	scrap_metal	1	3	80	material;common	v0.1
cardboard_cloth	container_cardboard	cloth_dirty	1	3	70	material;common	v0.1
cardboard_bandage	container_cardboard	field_bandage	1	1	15	consumable;medical	v0.1
wooden_scrap	container_wooden	scrap_metal	2	5	70	material;common	v0.1
wooden_cloth	container_wooden	cloth_dirty	1	4	55	material;common	v0.1
wooden_wire	container_wooden	wire_coil	1	2	30	material;electronic	v0.1
wooden_backpack	container_wooden	backpack_small_reinforced	1	1	5	equipment;backpack	v0.1
tool_parts_common	container_tool	tool_parts	1	3	65	material;tool	v0.1
tool_wire	container_tool	wire_coil	1	2	45	material;electronic	v0.1
tool_battery	container_tool	battery_old	1	2	35	material;power	v0.1
tool_scanner	container_tool	scanner_broken	1	1	12	equipment;tool	v0.1
tool_blueprint	container_tool	bp_backpack_small	1	1	6	blueprint;equipment	v0.1
medical_powder_common	container_medical	medicine_powder	1	3	65	material;medical	v0.1
medical_bandage	container_medical	field_bandage	1	2	55	consumable;medical	v0.1
medical_stability	container_medical	stability_candy	1	1	40	consumable;stability	v0.1
medical_signal	container_medical	signal_injector	1	1	8	consumable;rare	v0.1
small_safe_photo	container_small_safe	keepsake_photo	1	1	28	rare;settlement	v0.1
small_safe_chip	container_small_safe	gold_data_chip	1	1	5	rare;electronic	v0.1
small_safe_blueprint	container_small_safe	bp_backpack_small	1	1	15	blueprint;equipment	v0.1
small_safe_battery	container_small_safe	battery_old	1	2	30	material;electronic	v0.1
large_safe_photo	container_large_safe	keepsake_photo	1	2	35	rare;settlement	v0.1
large_safe_chip	container_large_safe	gold_data_chip	1	1	12	rare;electronic	v0.1
large_safe_filter	container_large_safe	outpost_filter	1	1	10	outpost_material;rare	v0.1
large_safe_injector	container_large_safe	signal_injector	1	1	18	consumable;rare	v0.1
anomaly_chip	container_anomaly	gold_data_chip	1	1	18	rare;electronic	v0.1
anomaly_photo	container_anomaly	keepsake_photo	1	1	28	rare;settlement	v0.1
anomaly_filter	container_anomaly	outpost_filter	1	1	20	outpost_material;rare	v0.1
anomaly_signal	container_anomaly	signal_injector	1	1	25	consumable;rare	v0.1
