research_id	display_name	category	level	max_level	required_items	required_currency_id	required_currency_amount	required_conditions	effect_type	effect_value	enabled	enabled_version	description
move_speed	移动训练 I	mobility	1	3		mine_coin	20		player_move_speed_multiplier	1.05	true	v0.2	永久提升基础移动速度至 105%。
move_speed	移动训练 II	mobility	2	3		mine_coin	45		player_move_speed_multiplier	1.10	true	v0.2	永久提升基础移动速度至 110%。
move_speed	移动训练 III	mobility	3	3		mine_coin	80		player_move_speed_multiplier	1.16	true	v0.2	永久提升基础移动速度至 116%。
inventory_slots	背包改装 I	storage	1	3		mine_coin	60		inventory_slots	12	true	v0.2	永久提升局内背包容量至 12 格。
inventory_slots	背包改装 II	storage	2	3		mine_coin	130	shop_level>=2	inventory_slots	16	true	v0.2	永久提升局内背包容量至 16 格。
inventory_slots	背包改装 III	storage	3	3		mine_coin	260	shop_level>=2	inventory_slots	20	true	v0.2	永久提升局内背包容量至 20 格。
home_storage_slots	家用保险箱 I	storage	1	3		mine_coin	50		home_storage_slots	2	true	v0.2	永久提升家用保险箱容量至 2 格。
home_storage_slots	家用保险箱 II	storage	2	3		mine_coin	120		home_storage_slots	3	true	v0.2	永久提升家用保险箱容量至 3 格。
home_storage_slots	家用保险箱 III	storage	3	3		mine_coin	240		home_storage_slots	4	true	v0.2	永久提升家用保险箱容量至 4 格。
outpost_storage_slots	前哨储物箱 I	outpost	1	2		mine_coin	90		outpost_storage_slots	1	true	v0.2	激活已修复前哨的 1 格储物能力。
outpost_storage_slots	前哨储物箱 II	outpost	2	2		mine_coin	220		outpost_storage_slots	2	true	v0.2	永久提升已修复前哨储物容量至 2 格。
max_stability	稳定训练 I	survival	1	5		mine_coin	45		max_stability	120	true	v0.2	永久提升稳定值上限至 120。
max_stability	稳定训练 II	survival	2	5		mine_coin	100		max_stability	140	true	v0.2	永久提升稳定值上限至 140。
max_stability	稳定训练 III	survival	3	5		mine_coin	210		max_stability	160	true	v0.2	永久提升稳定值上限至 160。
max_stability	稳定训练 IV	survival	4	5		mine_coin	420	chapter>=2	max_stability	180	true	v0.2	永久提升稳定值上限至 180。
max_stability	稳定训练 V	survival	5	5		mine_coin	760	chapter>=2	max_stability	200	true	v0.2	永久提升稳定值上限至 200。
warehouse_capacity	仓库整理 I	warehouse	1	5		mine_coin	40		warehouse_capacity	80	true	v0.2	永久提升局外仓库容量至 80 格。
warehouse_capacity	仓库整理 II	warehouse	2	5		mine_coin	110		warehouse_capacity	90	true	v0.2	永久提升局外仓库容量至 90 格。
warehouse_capacity	仓库整理 III	warehouse	3	5		mine_coin	230		warehouse_capacity	100	true	v0.2	永久提升局外仓库容量至 100 格。
warehouse_capacity	仓库整理 IV	warehouse	4	5		mine_coin	480	chapter>=2	warehouse_capacity	110	true	v0.2	永久提升局外仓库容量至 110 格。
warehouse_capacity	仓库整理 V	warehouse	5	5		mine_coin	820	chapter>=2	warehouse_capacity	120	true	v0.2	永久提升局外仓库容量至 120 格。
merchant_shop_level	商路拓展 I	commerce	1	2		mine_coin	80		merchant_shop_level	2	true	v0.3	永久提升杂货店供货等级至 Lv.2。
merchant_shop_level	商路拓展 II	commerce	2	2		mine_coin	180		merchant_shop_level	3	true	v0.3	永久提升杂货店供货等级至 Lv.3。
